created_at,text,media_type,media_url,views_count,quote_count,like_count,reply_count,retweet_count,language,translated_text,sentiment_score,sentiment_label,date
2025-06-01 06:11:56+00:00,"La rencontre entre Désiré Doué et iShowSpeed cette nuit 😭

Il lui a demandé de faire sa fameuse danse mdrr 

 https://t.co/gkqjVlHebu",video,https://pbs.twimg.com/amplify_video_thumb/1929058183831511040/img/dkF7ZkX_5pxN_1lX.jpg,803306,108,14107,33,483,fr,"The meeting between Désiré Doué and Ishowspeed this night 😭

He asked her to make her famous lol dance 

 https://t.co/gkqjvlhebu",-0.0772,Negative,2025-06-01
2025-05-31 21:44:51+00:00,Marcelo with IShowSpeed. https://t.co/L9bJgwvskR,photo,https://pbs.twimg.com/media/GsTwPs6XsAAM4-B.jpg,16207,108,1011,3,17,en,Marcelo with IShowSpeed. https://t.co/L9bJgwvskR,0.0,Neutral,2025-05-31
2025-05-24 18:40:18+00:00,"“I’m from Israel”  

iShowSpeed: “….Free Palestine 🇵🇸, not gonna lie bro” https://t.co/kCIItqlKrx",video,https://pbs.twimg.com/amplify_video_thumb/1926347398499942400/img/n_Vp0c59-TXxSWAr.jpg,169711,108,12590,90,2078,en,"“I’m from Israel”  

iShowSpeed: “….Free Palestine 🇵🇸, not gonna lie bro” https://t.co/kCIItqlKrx",0.0,Neutral,2025-05-24
2025-06-05 21:32:24+00:00,iShowSpeed launched himself into his setup after achieving 40M subs on YouTube 😭 https://t.co/hgFidBSNtT,video,https://pbs.twimg.com/amplify_video_thumb/1930734590966013952/img/-xs79-KrXW8VzxA9.jpg,10151270,108,111677,1217,3443,en,iShowSpeed launched himself into his setup after achieving 40M subs on YouTube 😭 https://t.co/hgFidBSNtT,-0.3818,Negative,2025-06-05
2025-06-06 15:06:04+00:00,"iShowSpeed understood what his Brazilian friend, Receba, was trying to say without him speaking English 😭 https://t.co/jjn3Gt4wB6",video,https://pbs.twimg.com/ext_tw_video_thumb/1930706550470881280/pu/img/FFKB9ur-J0N3lyEh.jpg,2011398,108,44008,119,955,en,"iShowSpeed understood what his Brazilian friend, Receba, was trying to say without him speaking English 😭 https://t.co/jjn3Gt4wB6",0.0258,Neutral,2025-06-06
2025-06-01 10:44:31+00:00,#KeralaBlasters legend @Humey_7's Instagram story against #IShowSpeed https://t.co/qwL5fY8D7o,photo,https://pbs.twimg.com/media/GsWisV-bUAAWlUm.jpg,3205,108,10,2,0,en,#KeralaBlasters legend @Humey_7's Instagram story against #IShowSpeed https://t.co/qwL5fY8D7o,0.0,Neutral,2025-06-01
2025-06-05 19:34:59+00:00,Los Colgaos x ishowspeed https://t.co/LZsSFMFYKy,photo,https://pbs.twimg.com/media/GstCeO-WoAAOGf6.jpg,352290,108,15859,16,607,en,Los Colgaos x ishowspeed https://t.co/LZsSFMFYKy,0.0,Neutral,2025-06-05
2025-06-06 13:20:32+00:00,Remember when Ronaldo scored against Germany and did the Ishowspeed’s Suii celebration. https://t.co/bEL1CUM7Oy,photo,https://pbs.twimg.com/media/Gsw2WnHWEAAuIx8.jpg,13793,108,956,12,97,en,Remember when Ronaldo scored against Germany and did the Ishowspeed’s Suii celebration. https://t.co/bEL1CUM7Oy,0.0,Neutral,2025-06-06
2025-06-07 00:00:00+00:00,IShowSpeed has officially hit 40 million subs on YouTube https://t.co/wcqf4K8In8,photo,https://pbs.twimg.com/media/Gsyi-NrWAAAuhTN.png,6302,108,170,2,7,en,IShowSpeed has officially hit 40 million subs on YouTube https://t.co/wcqf4K8In8,0.0,Neutral,2025-06-07
2025-05-31 07:58:32+00:00,ishowspeed laser/lazer eyes gif (made by me) https://t.co/9f6H6xniLw,animated_gif,https://pbs.twimg.com/tweet_video_thumb/GsQzFx2WUAATeDv.jpg,2223,108,26,4,1,en,ishowspeed laser/lazer eyes gif (made by me) https://t.co/9f6H6xniLw,0.0,Neutral,2025-05-31
2025-06-07 00:27:01+00:00,"iShowSpeed couldn’t believe his eyes 💀
 https://t.co/PVFk2mSDR4",video,https://pbs.twimg.com/amplify_video_thumb/1930253540196298753/img/uJq5GjbaRq-YuqGw.jpg,1523540,108,5098,231,222,en,"iShowSpeed couldn’t believe his eyes 💀
 https://t.co/PVFk2mSDR4",0.0,Neutral,2025-06-07
2025-05-30 18:26:42+00:00,"iShowSpeed, American YouTuber,  Stands with  Palestine 🇵🇸 https://t.co/ytpiE7iS3V",video,https://pbs.twimg.com/amplify_video_thumb/1928518336012259329/img/yUBYnpQLo-5qyIdi.jpg,24761,108,5145,26,967,en,"iShowSpeed, American YouTuber,  Stands with  Palestine 🇵🇸 https://t.co/ytpiE7iS3V",0.0,Neutral,2025-05-30
2025-06-05 18:24:34+00:00,"iShowSpeed was gifted a ""FREE PALESTINE"" shirt in Norway! 🇵🇸 https://t.co/MjWyu3TIht",video,https://pbs.twimg.com/amplify_video_thumb/1930691968914345984/img/fmvEXxF9RIZIxa6s.jpg,49647,108,6297,7,590,en,"iShowSpeed was gifted a ""FREE PALESTINE"" shirt in Norway! 🇵🇸 https://t.co/MjWyu3TIht",0.6514,Positive,2025-06-05
2025-06-05 21:13:51+00:00,@HedorahTheSm0g is it tho https://t.co/S9R5KcjlcA,animated_gif,https://pbs.twimg.com/tweet_video_thumb/GstZGDTXcAARImp.jpg,992,108,4,4,0,en,@HedorahTheSm0g is it tho https://t.co/S9R5KcjlcA,0.0,Neutral,2025-06-05
2025-05-29 00:13:55+00:00,this was the first clip i ever saw from ishowspeed and i remember laughing my ass off the first time i saw it https://t.co/mcBBvS0tCz,video,https://pbs.twimg.com/ext_tw_video_thumb/1927881000685539328/pu/img/KobTsFOeDB8HnKsy.jpg,3173,108,13,0,0,en,this was the first clip i ever saw from ishowspeed and i remember laughing my ass off the first time i saw it https://t.co/mcBBvS0tCz,-0.0772,Negative,2025-05-29
2025-06-02 03:14:04+00:00,"iShowSpeed, American YouTuber,  Stands with  Palestine 🇵🇸 https://t.co/4A3M2ATtZJ",video,https://pbs.twimg.com/amplify_video_thumb/1929375857019138048/img/EI_phnwRwvooqCH0.jpg,99203,108,9135,27,820,en,"iShowSpeed, American YouTuber,  Stands with  Palestine 🇵🇸 https://t.co/4A3M2ATtZJ",0.0,Neutral,2025-06-02
2025-06-05 21:23:27+00:00,"🚨 ISHOWSPEED VIENT DE FRANCHIR LA BARRE DES 40 MILLIONS D’ABONNÉS ! 

IL DEVIENT OFFICIELLEMENT LE STREAMER LE PLUS POPULAIRE DANS LE MONDE 🌍 

 https://t.co/uOcAsrq2DT",video,https://pbs.twimg.com/amplify_video_thumb/1930737128524185600/img/EhleSyRo4uy9_Rf0.jpg,1780542,108,34024,449,1727,de,"🚨 Ishowspeed has just crossed the 40 million subscribers mark! 

He officially becomes the most popular streamer in the world 🌍 

 https://t.co/uocasrq2dt",0.5244,Positive,2025-06-05
2025-05-28 18:41:35+00:00,Ishowspeed can be this calm? Love is a beautiful thing. https://t.co/33bGWRCkLD,video,https://pbs.twimg.com/amplify_video_thumb/1927796886200545281/img/TmCXmYjgEooBNrGq.jpg,216789,108,5439,37,363,en,Ishowspeed can be this calm? Love is a beautiful thing. https://t.co/33bGWRCkLD,0.8939,Positive,2025-05-28
